right_hand_wrist_x,right_hand_wrist_y,right_hand_wrist_z,right_hand_thumb_cmc_x,right_hand_thumb_cmc_y,right_hand_thumb_cmc_z,right_hand_thumb_mcp_x,right_hand_thumb_mcp_y,right_hand_thumb_mcp_z,right_hand_thumb_ip_x,right_hand_thumb_ip_y,right_hand_thumb_ip_z,right_hand_thumb_tip_x,right_hand_thumb_tip_y,right_hand_thumb_tip_z,right_hand_index_finger_mcp_x,right_hand_index_finger_mcp_y,right_hand_index_finger_mcp_z,right_hand_index_finger_pip_x,right_hand_index_finger_pip_y,right_hand_index_finger_pip_z,right_hand_index_finger_dip_x,right_hand_index_finger_dip_y,right_hand_index_finger_dip_z,right_hand_index_finger_tip_x,right_hand_index_finger_tip_y,right_hand_index_finger_tip_z,right_hand_middle_finger_mcp_x,right_hand_middle_finger_mcp_y,right_hand_middle_finger_mcp_z,right_hand_middle_finger_pip_x,right_hand_middle_finger_pip_y,right_hand_middle_finger_pip_z,right_hand_middle_finger_dip_x,right_hand_middle_finger_dip_y,right_hand_middle_finger_dip_z,right_hand_middle_finger_tip_x,right_hand_middle_finger_tip_y,right_hand_middle_finger_tip_z,right_hand_ring_finger_mcp_x,right_hand_ring_finger_mcp_y,right_hand_ring_finger_mcp_z,right_hand_ring_finger_pip_x,right_hand_ring_finger_pip_y,right_hand_ring_finger_pip_z,right_hand_ring_finger_dip_x,right_hand_ring_finger_dip_y,right_hand_ring_finger_dip_z,right_hand_ring_finger_tip_x,right_hand_ring_finger_tip_y,right_hand_ring_finger_tip_z,right_hand_pinky_mcp_x,right_hand_pinky_mcp_y,right_hand_pinky_mcp_z,right_hand_pinky_pip_x,right_hand_pinky_pip_y,right_hand_pinky_pip_z,right_hand_pinky_dip_x,right_hand_pinky_dip_y,right_hand_pinky_dip_z,right_hand_pinky_tip_x,right_hand_pinky_tip_y,right_hand_pinky_tip_z
,,,361.1382440450084,691.3475274666329,1305.2510717007292,326.3058183276311,694.0938157003075,1317.0633541951445,296.57880932913133,700.2166477128997,1314.1752378725675,276.8661676019547,705.4907950721952,1304.3484150932165,323.72782323363344,728.2507513782501,1327.000749319806,274.32906278097437,724.2969089456894,1320.7782976966225,255.06449415626363,712.1604709924073,1307.8490772339699,246.719026222379,698.0308177546224,1295.4948204695163,328.04745373955427,747.7994054709388,1309.2318002248446,275.2393969742593,743.3297157811862,1298.9587281457052,253.18027592867875,727.7002979126686,1285.5747094155022,243.00819962447406,710.2284743875772,1274.3255849513291,333.54671671064597,762.3498601918392,1289.26764834064,284.109011639444,761.0603808514295,1281.0468199994352,261.1144381369365,747.741559245312,1270.9387770009605,248.12569559794915,732.0556477103603,1263.1752885057724,339.8901136843907,772.1484313110849,1268.139814474922,306.0125670310354,784.7958288701238,1264.7537516536202,286.87769364703064,782.5074440481574,1261.3151924884512,272.9514599769025,776.5543787266695,1258.6589875898942
,,,355.89407252813663,670.3580807191374,1315.0870209070479,318.5786543202687,671.1440842112007,1325.5489689145463,287.4375552351488,676.0285795310291,1322.0577966625467,268.0039476298657,683.467846318258,1312.8732322012345,317.9474706356845,705.5260447500337,1334.5530303901342,267.1821337588219,703.4984950230648,1328.317072389809,246.2430456938618,695.947760711781,1315.407393117259,236.36114974749177,686.8238290054044,1303.2273717871008,324.5120861125368,725.4707594625069,1316.7608011410528,270.8202219468095,725.6705747299676,1306.6549017459479,245.08759747918202,715.8277998677225,1293.2159924706202,230.95531117145956,703.9281798881225,1281.8892855405304,332.51468812033687,739.045647721109,1296.4975979127416,283.69283934405314,745.8862102474204,1289.3992570338974,256.90316184479644,739.6454653433714,1279.7851361873147,239.27270676181172,730.3554898393315,1272.8117519442908,341.43427473841024,747.1809377453201,1275.162439135473,310.2956861117972,767.5117154539591,1272.4229741892302,289.8248692437239,770.3568612847798,1269.9124532859244,273.42529090951507,768.599318479042,1268.2692217466522
,,,360.90035580841743,664.4729913784504,1318.651510104949,321.2864250225603,661.7174346610662,1328.310033765265,287.91993576317634,664.0235959228248,1323.8678732792966,266.98538054753635,670.3073528483932,1314.3422060296455,320.69210888940455,697.7932933368597,1336.4455972219782,269.16855105869575,699.9681821949869,1331.3793097499445,248.5229969378052,690.1033520316416,1317.3932060632333,237.77732550618398,677.6207368614972,1304.243994256648,328.7512326380079,719.3349530765536,1318.5180799126094,275.61073222849853,724.9040441451262,1309.6762278907584,249.55453078182356,716.6069823659933,1295.7242511608213,233.76451355426093,705.9709073366238,1283.7986094371167,338.217368035453,733.0245253225871,1298.7315887115851,290.80038018670126,746.0163791540967,1293.4208285931252,263.5742997548432,743.566639891703,1283.680433621656,244.15169765623173,737.6641026103232,1276.794942906803,348.1395114177617,739.8897522490382,1278.6435785926712,318.81017086065333,765.9332170198212,1276.4650282569412,298.93919205950914,772.247053246402,1273.7953382472017,282.09918593630294,773.5881463487001,1272.0354915471084
,,,361.0676673026034,654.5693318505205,1319.5245024927272,321.45454631457557,653.1413338057658,1328.6775597788524,288.41720564853534,655.858532034672,1323.201420172024,267.47514864813024,661.7553064144198,1312.3356993399382,322.2035936020979,692.8227557416591,1336.8971038418638,271.91974165522896,700.1028998242498,1333.1153737512025,250.83323460918248,692.1609559473902,1318.8899552180706,238.66623405623398,680.2303005600459,1305.3374167842317,331.0642569138735,714.3333151672562,1318.9110094972593,279.370434456081,726.7464504412123,1310.95809168787,252.89909508465553,722.6280061197398,1297.5010062689007,235.85616153012506,714.4688718417349,1285.3635092905051,341.1622124990225,727.0567489921211,1299.4504041595467,296.1438130949576,745.3556408492032,1295.7790392792938,268.6190417208306,746.0445343367634,1286.5777437921956,247.71409767844156,742.2663895482183,1279.268928449443,351.3955241152113,732.1306091396532,1280.0823874794326,325.30448719267173,762.4181541222281,1279.1657049301566,306.77131300988185,773.609023224349,1277.1141510674274,290.43609484198936,779.9177976745007,1274.9302098151552
,,,353.1136427143789,610.8069230330714,1324.1448600255412,313.4691559109366,611.7553280788419,1333.8083240476678,281.719318887738,617.7565054706862,1328.5113832707525,261.40489667892723,626.161743516673,1317.330664006098,311.3388120489962,643.5575883477512,1342.1562724304774,259.6739267935257,652.2174428681257,1338.3247496858953,236.14368614414064,649.5730527262957,1323.5503689036416,221.88204940449688,643.2833017074678,1309.5630747841774,320.83019436466674,663.3180329189182,1323.5705865068628,267.5846747557944,679.1380245309866,1315.3325170811881,238.85329702314246,681.0199731678972,1301.7043162478078,219.45361639791088,676.874385811809,1289.263170320927,332.15829093211124,676.0062143950421,1302.7601694099128,286.892744845648,696.94742154051,1299.3904366775196,259.2723369011528,703.6289603848821,1290.785564608858,237.52563516360877,703.916549984936,1283.5146766487217,343.8005007384926,681.7217116978443,1281.0701329008004,319.25072946704273,713.077666065305,1281.0501748965864,303.01501475293196,729.9234288257586,1280.7192883394534,288.49279389245555,741.1618913150402,1279.3536651962343
,,,353.6820864947057,588.1411104212963,1322.8706474288913,315.1479298703095,595.9949323923177,1332.4653159413265,285.0031971393232,606.415382863867,1328.1496693298102,264.6389215928581,614.7792611410512,1318.4299929297422,308.43825401022264,617.2553711899988,1340.9157156755014,256.75822602834575,630.2234579612575,1337.0574565151962,232.48697549973107,628.880821281884,1321.9912214932633,217.72537893711439,623.9579511133146,1307.7736336464825,317.85982175383674,633.2414633627102,1322.8183044906057,265.7378134605653,652.8057324724488,1315.1926783228198,236.5937202744029,656.9274292040996,1301.3081107647513,215.99387936861606,653.8905238158429,1288.6786160145427,330.10226174569124,644.7953901222887,1301.8114175412275,286.0268572310253,668.8972666374137,1298.4563476687151,259.7516513325599,680.988571860699,1290.2018891655018,238.6779671684334,685.3931692976778,1283.420622030316,343.0924524579057,650.6365678951189,1278.9451741922765,320.18950785729743,684.1597579453048,1278.595233218625,306.14834867298754,704.0603518872215,1278.7841140204023,293.52471281667414,717.3107673802757,1278.141028636684
,,,361.01233477729573,590.7146936634233,1316.5429260274484,324.58518902084717,607.7518565768336,1324.6489071582682,295.9336090169875,619.7367777573555,1319.809881977874,275.98543462263785,625.8001672709402,1309.8421558269024,318.4978477340622,630.1931032996782,1333.7908293119574,270.377923361351,647.6309856149513,1329.5010758585538,248.607796094065,650.8605138233705,1316.2174763064165,235.50203366031954,649.698195856981,1303.3663922378535,327.59782950156347,642.5195943653116,1317.2303902481133,279.40341778955224,664.5447197337261,1310.4229460704296,251.8789786589623,669.3240263776256,1297.6636441220476,232.5346183676218,668.4758330143906,1285.880054594598,339.4195520974052,650.3940258042486,1297.6040949577896,298.8042910458584,677.2015421936018,1294.099039919465,273.43114469177806,689.2646704954319,1286.2969993762883,253.42563315477287,695.3176539585131,1280.1570722096249,351.87692465830287,652.2010254587651,1275.7781189185082,330.48200804381975,687.0129964296995,1274.118037926586,318.3265397051401,707.9714991353218,1274.0842050315905,308.18255595930947,723.9598754855274,1274.0926951181984
,,,355.7487490779608,545.2682575301382,1321.8285728878825,318.1033890323699,559.2038865032482,1330.3108552072335,288.50484980354673,567.0457713764312,1324.7592129900665,268.84942386493503,573.0247660476372,1312.488494418289,313.8331854700869,583.4648285990112,1338.5209473617874,263.99842039477267,592.5161928428548,1332.8826080319275,242.59198671912932,601.9297310172317,1320.9018832916274,229.5635908669813,607.9495799847632,1309.1738643898238,324.9265776085877,599.4618174785148,1321.322114198067,275.42311968552497,617.1027005336122,1313.1372504224248,247.84598014195836,624.5458407080895,1301.2914821662262,228.990356612116,628.603251003332,1290.5874202962398,338.07172921743665,610.3023491255569,1300.6594289201953,298.57446192704407,638.6514767028546,1295.8361888671438,274.4867665887963,652.8280032563546,1288.6988209003823,255.89118518514388,662.2006872223081,1283.4862384945116,351.2556799608267,613.8804091410391,1277.2536479534979,329.9410021175224,648.1862116633539,1273.509469069765,322.15214647657365,674.8268184056788,1274.4431359625335,316.6239087897348,697.9094769621969,1275.9978379986069
,,,357.8362049064724,522.3992136101431,1327.1946676071148,318.0718394080204,532.9678256446796,1336.7797599162081,286.530889082707,541.0627338731017,1332.9535888518697,266.0148251213054,549.8279135109442,1322.071325865148,316.1078882973496,553.0219678696616,1342.385616708806,263.59222286860756,556.8041044428847,1335.6361506400892,239.3988708078764,565.728141228714,1323.2803929646627,224.03848467045083,572.9262406578254,1311.3823519406305,329.72623596540046,572.3822449307504,1324.500586647425,279.9435222001017,590.6872197198928,1314.2772282611522,251.3121209863011,601.4568536776469,1302.4467305694325,230.85379799549764,608.0747933477613,1291.8958740872079,344.86088900363364,586.2331572736097,1302.8302344995145,307.2417436760392,620.3488999912653,1296.5937989479119,285.0658688947154,640.6958101304986,1289.5803051087723,267.334800372573,654.341655730217,1284.4068155916157,359.8523326180062,592.6021754131752,1278.1843127436719,341.04223505134746,628.4763604665299,1271.7254997277648,335.9142036053108,659.3592544761741,1271.7001923656942,331.85053884706304,684.7487051704468,1272.2603918986085
,,,386.5819221884876,588.8297872092295,1316.0375943054505,349.85853866082687,615.2696253582116,1322.8328893353053,320.3760159795089,636.5966350337417,1320.420490943541,300.6696876002717,651.7577333013131,1313.9548032153036,353.4453348547454,634.7420078939285,1329.1602650299449,309.117503740343,658.8940729197691,1322.1755352583348,286.25331555111734,671.9751281596668,1310.7690844708084,271.253691991125,681.663014892287,1299.8727649347413,365.3889045149257,642.6405030621272,1314.557614807338,324.0535352023173,676.3405620268345,1304.496776265519,297.77529972026616,693.1366770238127,1293.4969878473012,278.03683999386806,703.2554108253355,1283.4846315865127,377.9839583746215,642.9566712515176,1296.259467206932,344.5193849821745,681.9523479582454,1289.5527830289939,321.9333752555149,701.5478731952327,1281.7572967931972,303.03951991435906,713.8062369253349,1275.467790345985,390.45333614533007,635.9596078950002,1275.3348277137925,373.63758536544026,666.8754508384417,1267.2027558003836,363.89464275925417,687.4630657691162,1263.6843680667253,354.6636964245332,702.349338690415,1260.6594249046989
